cell_actin_mean	cell_area	cell_id	cell_tubulin_mean
0.096388205154	1171	1	0.160204953032
0.157521466103	3060	2	0.16306805075
0.145303368758	3476	3	0.206525417992
0.135073228437	1873	4	0.190155250568
0.123754957615	3347	5	0.161734535463
0.168882232436	2278	6	0.23707242335
0.114606332294	4737	7	0.172054787716
0.135554847199	2399	8	0.18275425218
0.113677348843	3014	9	0.158143044876
0.112633290828	2122	10	0.151115300031
0.135170316966	2154	11	0.186523931764
0.118338114883	2809	12	0.1653564523
0.208966649344	2377	13	0.332595873856
0.180085326438	4550	14	0.223162249515
0.147526280036	3406	15	0.210208052687
0.121514354052	3107	16	0.16581280726
0.133525552813	2693	17	0.201316412194
0.129779165385	2487	18	0.19384564441
0.120999189889	2493	19	0.182144514444
0.148528723867	3563	20	0.227185726943
0.178116853678	1384	21	0.308786693868
0.108648307808	3234	22	0.160618186669
0.130481733746	2375	23	0.156180804954
0.136004934084	3815	24	0.171023565389
0.127363549099	3207	25	0.182488062266
0.181482497293	4075	26	0.298550222543
0.114915109205	3758	27	0.181357417901
0.11867111051	4783	28	0.164399240775
0.137786435844	2929	29	0.191504829996
0.124806619896	1308	30	0.158002038736
0.123527846893	3759	31	0.161825475069
0.132107728979	4294	32	0.21300766231
0.146483527421	2955	33	0.228844431173
0.132867871919	1744	34	0.160332343947
0.136286740566	3046	35	0.179843703732
0.119550641873	2091	36	0.164503333615
0.111031373631	3623	37	0.174780947433
0.118066324107	4499	38	0.158278310213
0.126741332561	4874	39	0.214973408321
0.126638737446	5125	40	0.211616260163
0.120167160715	4326	41	0.182620362061
0.138996598078	1781	42	0.193013398509
0.119840511291	2031	43	0.176625056719
0.161353801046	5564	44	0.204265516415
0.129219854461	4516	45	0.180628354087
0.123237076649	2750	46	0.177083778966
0.129919585141	3282	47	0.180044449224
0.122576418174	3292	48	0.186429371262
0.12058006788	3241	49	0.172868456238
0.121621928123	3458	50	0.179608523571
0.133798382777	1501	51	0.17172603885
0.129672136764	3434	52	0.17602178903
0.119039561386	3233	53	0.146484476871
0.244989270071	2001	54	0.182808595702
0.134563538804	2547	55	0.166598150843
0.137614840545	1558	56	0.231609152005
0.143773323587	3058	57	0.202495543672
0.123297009761	2278	58	0.183525280174
0.133347656082	1369	59	0.163952505765
0.278809399286	2137	60	0.103786690156
0.129336743393	1150	61	0.1722114237
0.125236187245	2393	62	0.178912350565
0.119402721719	3556	63	0.154316372218
0.126623066078	3157	64	0.175104188017
0.116828867673	3820	65	0.165838209629
0.145059388426	2638	66	0.259867100745
0.156986896617	4359	67	0.217809445412
0.150104156334	1779	68	0.190604988482
0.139483660131	3000	69	0.211567320261
0.112685646341	3496	70	0.153993359357
0.13666959321	2680	71	0.202079309336
0.120695762176	3410	72	0.177112299465
0.121783702811	4686	73	0.178323416434
0.118083049822	3337	74	0.160663270403
0.114677337319	3778	75	0.168735403108
0.12048406401	1327	76	0.286445912201
0.13121944921	1063	77	0.167767878553
0.120271532036	3108	78	0.180081762435
0.122331336541	2396	79	0.170414743527
0.119753272153	2737	80	0.14480288279
0.13733315447	1754	81	0.232523978805
0.153809369051	2534	82	0.22247241438
0.11995444366	3581	83	0.204506354343
0.11262108039	1502	84	0.173068588288
0.120641291811	1700	85	0.14722260669
